w_static.py:2022-04-29 14:39:08,791:----------start-of-run----------
data_utils.py:2022-04-29 14:39:15,268:# all trajectories: 24694
trainer_bp.py:2022-04-29 14:39:22,670:Using 18520 instances for training
trainer_bp.py:2022-04-29 14:39:22,671:Using 6174 instances for validation
trainer_bp.py:2022-04-29 14:39:23,368:Epoch:  1
trainer_bp.py:2022-04-29 14:39:25,476:Iteration: 0, Meta Train Loss 0.040204299889433776
trainer_bp.py:2022-04-29 14:39:37,570:Iteration: 0, val loss 0.048666413199670654
trainer_bp.py:2022-04-29 14:42:29,523:Iteration: 100, Meta Train Loss 0.0013960527355190641
trainer_bp.py:2022-04-29 14:42:41,716:Iteration: 100, val loss 0.0022928003168718567
trainer_bp.py:2022-04-29 14:45:33,499:Iteration: 200, Meta Train Loss 0.0008596040088994268
trainer_bp.py:2022-04-29 14:45:45,936:Iteration: 200, val loss 0.0021039524252360144
trainer_bp.py:2022-04-29 14:48:46,558:Iteration: 300, Meta Train Loss 0.000893157809451761
trainer_bp.py:2022-04-29 14:48:58,688:Iteration: 300, val loss 0.0019984319922351505
trainer_bp.py:2022-04-29 14:51:51,233:Iteration: 400, Meta Train Loss 0.0019814638410507
trainer_bp.py:2022-04-29 14:52:03,818:Iteration: 400, val loss 0.0019408666675134031
trainer_bp.py:2022-04-29 14:55:06,063:Iteration: 500, Meta Train Loss 0.0020132236217412437
trainer_bp.py:2022-04-29 14:55:18,417:Iteration: 500, val loss 0.0018709005111501031
trainer_bp.py:2022-04-29 14:58:19,322:Iteration: 600, Meta Train Loss 0.0005950911369755173
trainer_bp.py:2022-04-29 14:58:31,508:Iteration: 600, val loss 0.0017700872752822608
trainer_bp.py:2022-04-29 15:01:32,544:Iteration: 700, Meta Train Loss 0.0010196783151953561
trainer_bp.py:2022-04-29 15:01:44,734:Iteration: 700, val loss 0.001737988056897309
trainer_bp.py:2022-04-29 15:04:45,145:Iteration: 800, Meta Train Loss 0.0006963560526824702
trainer_bp.py:2022-04-29 15:04:57,349:Iteration: 800, val loss 0.0016529869095737249
trainer_bp.py:2022-04-29 15:07:58,157:Iteration: 900, Meta Train Loss 0.0007291262843367621
trainer_bp.py:2022-04-29 15:08:10,252:Iteration: 900, val loss 0.0016012953269742398
trainer_bp.py:2022-04-29 15:11:11,220:Iteration: 1000, Meta Train Loss 0.0009074621168604011
trainer_bp.py:2022-04-29 15:11:23,407:Iteration: 1000, val loss 0.0015925149364731308
trainer_bp.py:2022-04-29 15:14:23,807:Iteration: 1100, Meta Train Loss 0.0009691790550643512
trainer_bp.py:2022-04-29 15:14:36,540:Iteration: 1100, val loss 0.0015416826147663279
trainer_bp.py:2022-04-29 15:17:36,722:Iteration: 1200, Meta Train Loss 0.0013230474335736888
trainer_bp.py:2022-04-29 15:17:48,945:Iteration: 1200, val loss 0.0015862570244481943
trainer_bp.py:2022-04-29 15:20:49,793:Iteration: 1300, Meta Train Loss 0.0006352459570970127
trainer_bp.py:2022-04-29 15:21:01,997:Iteration: 1300, val loss 0.0014894010804342506
trainer_bp.py:2022-04-29 15:24:02,936:Iteration: 1400, Meta Train Loss 0.0007617834990354298
trainer_bp.py:2022-04-29 15:24:15,107:Iteration: 1400, val loss 0.001491825542423614
trainer_bp.py:2022-04-29 15:27:15,966:Iteration: 1500, Meta Train Loss 0.0009074583349542443
trainer_bp.py:2022-04-29 15:27:28,165:Iteration: 1500, val loss 0.001450818701631643
trainer_bp.py:2022-04-29 15:30:29,236:Iteration: 1600, Meta Train Loss 0.0007205950597143877
trainer_bp.py:2022-04-29 15:30:41,416:Iteration: 1600, val loss 0.0014593686612821043
trainer_bp.py:2022-04-29 15:33:42,164:Iteration: 1700, Meta Train Loss 0.0009030450072526398
trainer_bp.py:2022-04-29 15:33:54,329:Iteration: 1700, val loss 0.0014321310465702666
trainer_bp.py:2022-04-29 15:36:55,388:Iteration: 1800, Meta Train Loss 0.00148175004569138
trainer_bp.py:2022-04-29 15:37:07,981:Iteration: 1800, val loss 0.0014488131753977304
trainer_bp.py:2022-04-29 15:38:40,225:Epoch:  2
trainer_bp.py:2022-04-29 15:38:42,049:Iteration: 0, Meta Train Loss 0.0008030160653187146
trainer_bp.py:2022-04-29 15:38:54,156:Iteration: 0, val loss 0.0015710562372552126
trainer_bp.py:2022-04-29 15:41:56,435:Iteration: 100, Meta Train Loss 0.0010647116690719386
trainer_bp.py:2022-04-29 15:42:08,726:Iteration: 100, val loss 0.0014831478923295368
trainer_bp.py:2022-04-29 15:45:10,383:Iteration: 200, Meta Train Loss 0.0013829322924187254
trainer_bp.py:2022-04-29 15:45:22,539:Iteration: 200, val loss 0.0015908976275510402
trainer_bp.py:2022-04-29 15:48:24,013:Iteration: 300, Meta Train Loss 0.0005769081779379619
trainer_bp.py:2022-04-29 15:48:36,306:Iteration: 300, val loss 0.0015111861821228711
trainer_bp.py:2022-04-29 15:51:37,388:Iteration: 400, Meta Train Loss 0.004001302330194197
trainer_bp.py:2022-04-29 15:51:49,605:Iteration: 400, val loss 0.0014428245026997509
trainer_bp.py:2022-04-29 15:54:51,631:Iteration: 500, Meta Train Loss 0.001340966210675246
trainer_bp.py:2022-04-29 15:55:04,229:Iteration: 500, val loss 0.00142321364208799
trainer_bp.py:2022-04-29 15:58:06,247:Iteration: 600, Meta Train Loss 0.0010702788495740576
trainer_bp.py:2022-04-29 15:58:18,425:Iteration: 600, val loss 0.0014148944076549305
trainer_bp.py:2022-04-29 16:01:21,142:Iteration: 700, Meta Train Loss 0.0012896209761920213
trainer_bp.py:2022-04-29 16:01:33,340:Iteration: 700, val loss 0.001460800491139798
trainer_bp.py:2022-04-29 16:04:35,536:Iteration: 800, Meta Train Loss 0.0009083599084087201
trainer_bp.py:2022-04-29 16:04:47,745:Iteration: 800, val loss 0.0014217817240600235
trainer_bp.py:2022-04-29 16:07:49,061:Iteration: 900, Meta Train Loss 0.0009274833179928349
