wo_static.py:2022-04-29 14:51:24,706:----------start-of-run----------
data_utils.py:2022-04-29 14:51:31,447:# all trajectories: 24694
trainer_bp.py:2022-04-29 14:51:38,807:Using 18520 instances for training
trainer_bp.py:2022-04-29 14:51:38,807:Using 6174 instances for validation
trainer_bp.py:2022-04-29 14:51:39,502:Epoch:  1
trainer_bp.py:2022-04-29 14:51:41,468:Iteration: 0, Meta Train Loss 0.04547300043766732
trainer_bp.py:2022-04-29 14:51:50,564:Iteration: 0, val loss 0.058564303036510286
trainer_bp.py:2022-04-29 14:54:30,333:Iteration: 100, Meta Train Loss 0.0016018200264462338
trainer_bp.py:2022-04-29 14:54:39,574:Iteration: 100, val loss 0.002488155295235042
trainer_bp.py:2022-04-29 14:57:18,667:Iteration: 200, Meta Train Loss 0.0017427397198675962
trainer_bp.py:2022-04-29 14:57:27,838:Iteration: 200, val loss 0.0021333377500799976
trainer_bp.py:2022-04-29 15:00:06,097:Iteration: 300, Meta Train Loss 0.0014152249221702424
trainer_bp.py:2022-04-29 15:00:15,283:Iteration: 300, val loss 0.002116069661356753
trainer_bp.py:2022-04-29 15:02:53,990:Iteration: 400, Meta Train Loss 0.0024322623223260722
trainer_bp.py:2022-04-29 15:03:03,222:Iteration: 400, val loss 0.0019157215802073425
trainer_bp.py:2022-04-29 15:05:43,688:Iteration: 500, Meta Train Loss 0.0008370736982221274
trainer_bp.py:2022-04-29 15:05:52,904:Iteration: 500, val loss 0.0018234975420441495
trainer_bp.py:2022-04-29 15:08:32,505:Iteration: 600, Meta Train Loss 0.002254209977164835
trainer_bp.py:2022-04-29 15:08:41,808:Iteration: 600, val loss 0.0017435070119006426
trainer_bp.py:2022-04-29 15:11:21,530:Iteration: 700, Meta Train Loss 0.0008323897944220258
trainer_bp.py:2022-04-29 15:11:30,781:Iteration: 700, val loss 0.0016882783191710868
trainer_bp.py:2022-04-29 15:14:09,570:Iteration: 800, Meta Train Loss 0.0013038477999431214
trainer_bp.py:2022-04-29 15:14:18,827:Iteration: 800, val loss 0.0017923501572954263
trainer_bp.py:2022-04-29 15:16:57,647:Iteration: 900, Meta Train Loss 0.0008961510795307557
trainer_bp.py:2022-04-29 15:17:06,890:Iteration: 900, val loss 0.0016380568992564134
trainer_bp.py:2022-04-29 15:19:46,004:Iteration: 1000, Meta Train Loss 0.0009297176803595261
trainer_bp.py:2022-04-29 15:19:55,138:Iteration: 1000, val loss 0.0016047249110533572
trainer_bp.py:2022-04-29 15:22:33,989:Iteration: 1100, Meta Train Loss 0.0007522984208149886
trainer_bp.py:2022-04-29 15:22:43,178:Iteration: 1100, val loss 0.0016750804790159274
trainer_bp.py:2022-04-29 15:25:22,456:Iteration: 1200, Meta Train Loss 0.0014362960100722294
trainer_bp.py:2022-04-29 15:25:31,618:Iteration: 1200, val loss 0.0015541208456252417
trainer_bp.py:2022-04-29 15:28:11,503:Iteration: 1300, Meta Train Loss 0.0010789376562896176
trainer_bp.py:2022-04-29 15:28:20,682:Iteration: 1300, val loss 0.0015430579082936374
trainer_bp.py:2022-04-29 15:30:59,621:Iteration: 1400, Meta Train Loss 0.0006257317794718018
trainer_bp.py:2022-04-29 15:31:08,873:Iteration: 1400, val loss 0.0015605563192968202
trainer_bp.py:2022-04-29 15:33:47,543:Iteration: 1500, Meta Train Loss 0.0015011217759031855
trainer_bp.py:2022-04-29 15:33:56,753:Iteration: 1500, val loss 0.0015616835883157248
trainer_bp.py:2022-04-29 15:36:35,315:Iteration: 1600, Meta Train Loss 0.0007998135266902963
trainer_bp.py:2022-04-29 15:36:44,537:Iteration: 1600, val loss 0.0015651294197767847
trainer_bp.py:2022-04-29 15:39:23,657:Iteration: 1700, Meta Train Loss 0.0011128475843032613
trainer_bp.py:2022-04-29 15:39:32,889:Iteration: 1700, val loss 0.0015065055231033464
trainer_bp.py:2022-04-29 15:42:11,947:Iteration: 1800, Meta Train Loss 0.0008215204561510169
trainer_bp.py:2022-04-29 15:42:21,165:Iteration: 1800, val loss 0.0014762508909087755
trainer_bp.py:2022-04-29 15:43:42,088:Epoch:  2
trainer_bp.py:2022-04-29 15:43:43,699:Iteration: 0, Meta Train Loss 0.0005844814565047661
trainer_bp.py:2022-04-29 15:43:52,882:Iteration: 0, val loss 0.0014707942732605506
